2022-07-18 00:03:22.361581 [info]:  =============Server init================
2022-07-18 00:03:22.361604 [info]:  Port: 10000,OpenLinger: true
2022-07-18 00:03:22.361610 [info]:  Listen Mode: ET, Conn Mode: ET
2022-07-18 00:03:22.361613 [info]:  Log level: 1
2022-07-18 00:03:22.361615 [info]:  srcDir: /home/zyue/lesson/newserver/resources/
2022-07-18 00:03:22.361617 [info]:  SqlConnPool num: 12, ThreadPool num: 6
2022-07-18 00:03:22.361687 [info]:  ================Server run================
2022-07-18 00:03:30.034778 [info]:  Client[18](192.168.30.1:3790) in, userCount: 1
2022-07-18 00:03:30.035151 [info]:  Client[18] in!
2022-07-18 00:03:30.035228 [info]:  Client[19](192.168.30.1:4302) in, userCount: 2
2022-07-18 00:03:30.035264 [info]:  Client[19] in!
2022-07-18 00:03:30.189359 [info]:  Client[21](192.168.30.1:6094) in, userCount: 3
2022-07-18 00:03:30.189459 [info]:  Client[21] in!
2022-07-18 00:03:30.189475 [info]:  Client[22](192.168.30.1:6350) in, userCount: 4
2022-07-18 00:03:30.189484 [info]:  Client[22] in!
2022-07-18 00:03:30.189496 [info]:  Client[23](192.168.30.1:6606) in, userCount: 5
2022-07-18 00:03:30.189506 [info]:  Client[23] in!
2022-07-18 00:03:30.380705 [info]:  Client[24](192.168.30.1:6862) in, userCount: 6
2022-07-18 00:03:30.380778 [info]:  Client[24] in!
2022-07-18 00:03:33.058691 [info]:  Client[18] quit!
2022-07-18 00:03:33.059317 [info]:  Client[18](192.168.30.1:3790) quit, userCount: 5
2022-07-18 00:03:33.059352 [info]:  Client[24] quit!
2022-07-18 00:03:33.059723 [info]:  Client[24](192.168.30.1:6862) quit, userCount: 4
2022-07-18 00:03:33.059752 [info]:  Client[21] quit!
2022-07-18 00:03:33.060094 [info]:  Client[21](192.168.30.1:6094) quit, userCount: 3
2022-07-18 00:03:33.060121 [info]:  Client[22] quit!
2022-07-18 00:03:33.060429 [info]:  Client[22](192.168.30.1:6350) quit, userCount: 2
2022-07-18 00:03:33.060454 [info]:  Client[19] quit!
2022-07-18 00:03:33.060734 [info]:  Client[19](192.168.30.1:4302) quit, userCount: 1
2022-07-18 00:03:33.060758 [info]:  Client[23] quit!
2022-07-18 00:03:33.061051 [info]:  Client[23](192.168.30.1:6606) quit, userCount: 0
2022-07-18 00:03:33.296398 [info]:  Client[18](192.168.30.1:8142) in, userCount: 1
2022-07-18 00:03:33.296490 [info]:  Client[18] in!
2022-07-18 00:03:33.296521 [info]:  Client[19](192.168.30.1:8910) in, userCount: 2
2022-07-18 00:03:33.296540 [info]:  Client[19] in!
2022-07-18 00:03:33.332116 [info]:  Client[20](192.168.30.1:9166) in, userCount: 3
2022-07-18 00:03:33.332181 [info]:  Client[20] in!
2022-07-18 00:03:33.332207 [info]:  Client[21](192.168.30.1:9422) in, userCount: 4
2022-07-18 00:03:33.332308 [info]:  Client[21] in!
2022-07-18 00:03:33.332349 [info]:  Client[22](192.168.30.1:9678) in, userCount: 5
2022-07-18 00:03:33.332382 [info]:  Client[22] in!
2022-07-18 00:03:33.420457 [info]:  Client[24](192.168.30.1:9934) in, userCount: 6
2022-07-18 00:03:33.420551 [info]:  Client[24] in!
2022-07-18 00:03:38.051023 [info]:  Client[18] quit!
2022-07-18 00:03:38.051568 [info]:  Client[18](192.168.30.1:8142) quit, userCount: 5
2022-07-18 00:03:38.051612 [info]:  Client[19] quit!
2022-07-18 00:03:38.051878 [info]:  Client[19](192.168.30.1:8910) quit, userCount: 4
2022-07-18 00:03:38.051901 [info]:  Client[22] quit!
2022-07-18 00:03:38.052135 [info]:  Client[22](192.168.30.1:9678) quit, userCount: 3
2022-07-18 00:03:38.052162 [info]:  Client[21] quit!
2022-07-18 00:03:38.052425 [info]:  Client[21](192.168.30.1:9422) quit, userCount: 2
2022-07-18 00:03:38.052449 [info]:  Client[24] quit!
2022-07-18 00:03:38.052697 [info]:  Client[24](192.168.30.1:9934) quit, userCount: 1
2022-07-18 00:03:39.963020 [info]:  Client[18](192.168.30.1:11982) in, userCount: 2
2022-07-18 00:03:39.963264 [info]:  Client[18] in!
2022-07-18 00:03:39.981959 [info]:  Client[20] quit!
2022-07-18 00:03:39.985222 [info]:  Client[20](192.168.30.1:9166) quit, userCount: 1
2022-07-18 00:03:40.022633 [info]:  Client[19](192.168.30.1:12238) in, userCount: 2
2022-07-18 00:03:40.022781 [info]:  Client[19] in!
2022-07-18 00:03:40.022820 [info]:  Client[20](192.168.30.1:12494) in, userCount: 3
